"Scrip Name","Scrip","ISIN","Scrip Opt","Buy Date","Buy Qty","Buy Rate","Buy Amt","Sell Date","Sell Qty","Sell Rate","Sell Amt","Days","Gross PL","Turn Over"
"BANKNIFTY","BANKNIFTY24SEP20800PE","","PE","24-09-2020","25","74.85","1,871.25","22-09-2020","25","141.35","3,533.75","2","1,662.50","5,196.25"
"BANKNIFTY","BANKNIFTY24SEP20900PE","","PE","24-09-2020","25","126.05","3,151.25","24-09-2020","25","113.30","2,832.50","0","-318.75","3,151.25"
"BANKNIFTY","BANKNIFTY24SEP21000PE","","PE","21-09-2020","25","86.50","2,162.50","18-09-2020","25","119.20","2,980.00","3","817.50","3,797.50"
"BANKNIFTY","BANKNIFTY24SEP21000PE","","PE","21-09-2020","25","162.85","4,071.25","21-09-2020","25","125.00","3,125.00","0","-946.25","4,071.25"
"BANKNIFTY","BANKNIFTY24SEP21000PE","","PE","22-09-2020","25","221.90","5,547.50","22-09-2020","25","178.00","4,450.00","0","-1,097.50","5,547.50"
"BANKNIFTY","BANKNIFTY01OCT21000PE","","PE","01-10-2020","25","3.30","82.50","28-09-2020","25","80.95","2,023.75","3","1,941.25","3,965.00"
"BANKNIFTY","BANKNIFTY01OCT21800PE","","PE","01-10-2020","25","19.20","480.00","01-10-2020","25","28.00","700.00","0","220.00","920.00"
"BANKNIFTY","BANKNIFTY01OCT21800PE","","PE","01-10-2020","25","19.20","480.00","01-10-2020","25","28.05","701.25","0","221.25","922.50"
"BANKNIFTY","BANKNIFTY01OCT21800PE","","PE","01-10-2020","25","19.20","480.00","01-10-2020","25","28.05","701.25","0","221.25","922.50"
"BANKNIFTY","BANKNIFTY01OCT22000PE","","PE","01-10-2020","25","5.70","142.50","01-10-2020","25","9.00","225.00","0","82.50","307.50"
"BANKNIFTY","BANKNIFTY08OCT21000PE","","PE","06-10-2020","25","7.85","196.25","01-10-2020","25","36.10","902.50","5","706.25","1,608.75"
"BANKNIFTY","BANKNIFTY08OCT22300PE","","PE","07-10-2020","25","35.35","883.75","06-10-2020","25","59.75","1,493.75","1","610.00","2,103.75"
"BANKNIFTY","BANKNIFTY08OCT22400PE","","PE","08-10-2020","25","2.05","51.25","07-10-2020","25","31.05","776.25","1","725.00","1,501.25"
"BANKNIFTY","BANKNIFTY08OCT22500PE","","PE","07-10-2020","25","50.40","1,260.00","07-10-2020","25","58.15","1,453.75","0","193.75","1,647.50"
"BANKNIFTY","BANKNIFTY08OCT23100PE","","PE","08-10-2020","25","2.85","71.25","08-10-2020","25","22.30","557.50","0","486.25","1,043.75"
"BANKNIFTY","BANKNIFTY08OCT23200PE","","PE","08-10-2020","25","6.60","165.00","08-10-2020","25","46.10","1,152.50","0","987.50","2,140.00"
"BANKNIFTY","BANKNIFTY15OCT21500PE","","PE","12-10-2020","25","11.55","288.75","09-10-2020","25","18.95","473.75","3","185.00","658.75"
"BANKNIFTY","BANKNIFTY15OCT22400PE","","PE","14-10-2020","25","11.05","276.25","13-10-2020","25","32.25","806.25","1","530.00","1,336.25"
"BANKNIFTY","BANKNIFTY15OCT22600PE","","PE","13-10-2020","25","44.35","1,108.75","14-10-2020","25","15.10","377.50","1","-731.25","1,108.75"
"BANKNIFTY","BANKNIFTY15OCT22800PE","","PE","14-10-2020","25","22.70","567.50","13-10-2020","25","71.10","1,777.50","1","1,210.00","2,987.50"
"BANKNIFTY","BANKNIFTY15OCT22900PE","","PE","14-10-2020","25","31.20","780.00","15-10-2020","25","3.75","93.75","1","-686.25","780.00"
"BANKNIFTY","BANKNIFTY15OCT22900PE","","PE","14-10-2020","25","23.75","593.75","15-10-2020","25","3.75","93.75","1","-500.00","593.75"
"BANKNIFTY","BANKNIFTY15OCT23100PE","","PE","15-10-2020","25","5.85","146.25","14-10-2020","25","38.80","970.00","1","823.75","1,793.75"
"BANKNIFTY","BANKNIFTY15OCT23100PE","","PE","15-10-2020","25","5.85","146.25","14-10-2020","25","51.45","1,286.25","1","1,140.00","2,426.25"
"BANKNIFTY","BANKNIFTY15OCT23400PE","","PE","15-10-2020","25","10.10","252.50","15-10-2020","25","8.40","210.00","0","-42.50","252.50"
"BANKNIFTY","BANKNIFTY22OCT22100PE","","PE","16-10-2020","25","68.30","1,707.50","16-10-2020","25","96.40","2,410.00","0","702.50","3,112.50"
"BANKNIFTY","BANKNIFTY22OCT22800PE","","PE","19-10-2020","25","75.45","1,886.25","16-10-2020","25","152.00","3,800.00","3","1,913.75","5,713.75"
"BANKNIFTY","BANKNIFTY22OCT23500PE","","PE","20-10-2020","25","101.95","2,548.75","19-10-2020","25","94.25","2,356.25","1","-192.50","2,548.75"
"BANKNIFTY","BANKNIFTY22OCT23600PE","","PE","21-10-2020","25","30.30","757.50","21-10-2020","25","52.90","1,322.50","0","565.00","1,887.50"
"BANKNIFTY","BANKNIFTY22OCT23700PE","","PE","22-10-2020","25","10.30","257.50","22-10-2020","25","17.00","425.00","0","167.50","592.50"
"BANKNIFTY","BANKNIFTY22OCT23800PE","","PE","22-10-2020","25","13.75","343.75","22-10-2020","25","28.55","713.75","0","370.00","1,083.75"
"BANKNIFTY","BANKNIFTY22OCT23900PE","","PE","22-10-2020","25","4.45","111.25","22-10-2020","25","10.55","263.75","0","152.50","416.25"
"BANKNIFTY","BANKNIFTY22OCT24100PE","","PE","22-10-2020","25","10.65","266.25","22-10-2020","25","21.40","535.00","0","268.75","803.75"
"BANKNIFTY","BANKNIFTY22OCT24300PE","","PE","21-10-2020","25","79.65","1,991.25","21-10-2020","25","82.30","2,057.50","0","66.25","2,123.75"
"BANKNIFTY","BANKNIFTY22OCT24400PE","","PE","21-10-2020","25","79.65","1,991.25","21-10-2020","25","99.05","2,476.25","0","485.00","2,961.25"
"BANKNIFTY","BANKNIFTY22OCT24500PE","","PE","21-10-2020","25","126.00","3,150.00","21-10-2020","25","127.65","3,191.25","0","41.25","3,232.50"
"BANKNIFTY","BANKNIFTY22OCT24500PE","","PE","21-10-2020","25","126.00","3,150.00","21-10-2020","25","158.55","3,963.75","0","813.75","4,777.50"
"BANKNIFTY","BANKNIFTY22OCT24600PE","","PE","21-10-2020","25","126.75","3,168.75","21-10-2020","25","157.00","3,925.00","0","756.25","4,681.25"
"BANKNIFTY","BANKNIFTY29OCT22900PE","","PE","23-10-2020","25","30.50","762.50","27-10-2020","25","39.35","983.75","4","221.25","1,205.00"
"BANKNIFTY","BANKNIFTY29OCT22900PE","","PE","26-10-2020","25","39.35","983.75","27-10-2020","25","39.30","982.50","1","-1.25","983.75"
"BANKNIFTY","BANKNIFTY29OCT23100PE","","PE","27-10-2020","25","55.75","1,393.75","26-10-2020","25","57.30","1,432.50","1","38.75","1,471.25"
"BANKNIFTY","BANKNIFTY29OCT23200PE","","PE","27-10-2020","25","66.50","1,662.50","23-10-2020","25","50.60","1,265.00","4","-397.50","1,662.50"
"BANKNIFTY","BANKNIFTY29OCT23300PE","","PE","29-10-2020","25","17.95","448.75","29-10-2020","25","3.75","93.75","0","-355.00","448.75"
"BANKNIFTY","BANKNIFTY29OCT23400PE","","PE","28-10-2020","25","47.85","1,196.25","29-10-2020","25","42.25","1,056.25","1","-140.00","1,196.25"
"BANKNIFTY","BANKNIFTY29OCT23500PE","","PE","28-10-2020","25","34.20","855.00","29-10-2020","25","60.95","1,523.75","1","668.75","2,192.50"
"BANKNIFTY","BANKNIFTY29OCT23500PE","","PE","29-10-2020","25","6.90","172.50","29-10-2020","25","19.20","480.00","0","307.50","787.50"
"BANKNIFTY","BANKNIFTY29OCT23600PE","","PE","27-10-2020","25","60.80","1,520.00","28-10-2020","25","65.00","1,625.00","1","105.00","1,730.00"
"BANKNIFTY","BANKNIFTY29OCT23600PE","","PE","29-10-2020","25","82.20","2,055.00","28-10-2020","25","80.10","2,002.50","1","-52.50","2,055.00"
"BANKNIFTY","BANKNIFTY29OCT23600PE","","PE","29-10-2020","25","9.10","227.50","29-10-2020","25","52.00","1,300.00","0","1,072.50","2,372.50"
"BANKNIFTY","BANKNIFTY29OCT23700PE","","PE","29-10-2020","25","107.55","2,688.75","28-10-2020","25","59.60","1,490.00","1","-1,198.75","2,688.75"
"BANKNIFTY","BANKNIFTY29OCT23700PE","","PE","29-10-2020","25","16.10","402.50","29-10-2020","25","18.55","463.75","0","61.25","525.00"
"BANKNIFTY","BANKNIFTY29OCT23700PE","","PE","29-10-2020","25","16.25","406.25","29-10-2020","25","32.45","811.25","0","405.00","1,216.25"
"BANKNIFTY","BANKNIFTY29OCT23700PE","","PE","29-10-2020","25","12.70","317.50","29-10-2020","25","46.05","1,151.25","0","833.75","1,985.00"
"BANKNIFTY","BANKNIFTY29OCT23800PE","","PE","28-10-2020","25","107.00","2,675.00","27-10-2020","25","83.00","2,075.00","1","-600.00","2,675.00"
"BANKNIFTY","BANKNIFTY05NOV22000PE","","PE","30-10-2020","25","56.20","1,405.00","02-11-2020","25","27.70","692.50","3","-712.50","1,405.00"
"BANKNIFTY","BANKNIFTY05NOV22300PE","","PE","02-11-2020","25","39.55","988.75","30-10-2020","25","81.70","2,042.50","3","1,053.75","3,096.25"
"BANKNIFTY","BANKNIFTY05NOV23000PE","","PE","04-11-2020","25","11.30","282.50","05-11-2020","25","1.05","26.25","1","-256.25","282.50"
"BANKNIFTY","BANKNIFTY05NOV23800PE","","PE","05-11-2020","25","1.90","47.50","04-11-2020","25","30.60","765.00","1","717.50","1,482.50"
"BANKNIFTY","BANKNIFTY05NOV25600PE","","PE","05-11-2020","25","14.10","352.50","05-11-2020","25","21.10","527.50","0","175.00","702.50"
"BANKNIFTY","BANKNIFTY12NOV25500PE","","PE","09-11-2020","25","19.20","480.00","10-11-2020","25","14.15","353.75","1","-126.25","480.00"
"BANKNIFTY","BANKNIFTY12NOV25900PE","","PE","10-11-2020","25","21.00","525.00","09-11-2020","25","31.10","777.50","1","252.50","1,030.00"
